1001	75
1002	40
1003	35
1004	14
1005	88
1006	47
1007	26
1008	96
1009	16
1010	25
1011	77
1012	30
1013	28
1014	30
1015	39
1016	8
1017	63
1018	14
1019	57
1020	15
1021	53
1022	6
1023	31
1024	6
1025	91
1026	42
1027	20
1028	39
1029	6
1030	19
1031	61
1032	98
1033	85
1034	47
1035	84
1036	16
1037	38
1038	57
1039	29
1040	46
1041	20
1042	96
1043	43
1044	99
1045	32
1046	78
1047	2
1048	48
1049	45
1050	44
1051	69
1052	77
1053	82
1054	13
1055	6
1056	8
1057	67
1058	52
1059	72
1060	19
1061	45
1062	50
1063	74
1064	73
1065	38
1066	49
1067	70
1068	89
1069	33
1070	27
1071	20
1072	42
1073	91
1074	54
1075	72
1076	35
1077	82
1078	13
1079	79
1080	79
1081	24
1082	31
1083	95
1084	37
1085	78
1086	47
1087	68
1088	65
1089	23
1090	90
1091	4
1092	7
1093	58
1094	45
1095	4
1096	14
1097	22
1098	99
1099	35
1100	20
1101	29
1102	62
1103	41
1104	80
1105	80
1106	75
1107	98
1108	44
1109	1
1110	49
1111	1
1112	99
1113	11
1114	55
1115	31
1116	85
1117	41
1118	97
1119	22
1120	88
1121	26
1122	25
1123	42
1124	53
1125	74
1126	10
1127	52
1128	1
1129	63
1130	62
1131	37
1132	99
1133	18
1134	26
1135	49
1136	91
1137	85
1138	88
1139	29
1140	96
1141	1
1142	84
1143	44
1144	36
1145	61
1146	75
1147	71
1148	88
1149	90
1150	57
1151	40
1152	51
1153	59
1154	87
1155	61
1156	64
1157	99
1158	13
1159	16
1160	42
1161	44
1162	91
1163	79
1164	46
1165	24
1166	38
1167	32
1168	7
1169	13
1170	68
1171	83
1172	78
1173	77
1174	99
1175	97
1176	74
1177	37
1178	24
1179	45
1180	41
1181	79
1182	81
1183	40
1184	42
1185	49
1186	38
1187	36
1188	55
1189	72
1190	23
1191	25
1192	20
1193	21
1194	84
1195	47
1196	85
1197	21
1198	1
1199	24
1200	38
1201	54
1202	92
1203	98
1204	59
1205	27
1206	79
1207	10
1208	33
1209	68
1210	71
1211	74
1212	36
1213	2
1214	64
1215	11
1216	80
1217	74
1218	24
1219	51
1220	23
1221	62
1222	77
1223	85
1224	53
1225	50
1226	25
1227	99
1228	35
1229	98
1230	25
1231	56
1232	69
1233	15
1234	47
1235	99
1236	10
1237	59
1238	84
1239	12
1240	70
1241	50
1242	85
1243	81
1244	47
1245	15
1246	38
1247	67
1248	53
1249	60
1250	79
1251	76
1252	2
1253	74
1254	46
1255	35
1256	44
1257	52
1258	75
1259	92
1260	11
1261	73
1262	9
1263	31
1264	23
1265	32
1266	31
1267	6
1268	85
1269	8
1270	75
1271	48
1272	61
1273	57
1274	53
1275	83
1276	27
1277	60
1278	88
1279	86
1280	52
1281	6
1282	98
1283	98
1284	16
1285	25
1286	22
1287	10
1288	71
1289	92
1290	52
1291	16
1292	68
1293	36
1294	8
1295	73
1296	46
1297	49
1298	24
1299	94
1300	75
1301	39
1302	6
1303	31
1304	17
1305	60
1306	77
1307	40
1308	80
1309	46
1310	30
1311	71
1312	79
1313	68
1314	84
1315	9
1316	36
1317	93
1318	96
1319	38
1320	87
1321	98
1322	68
1323	48
1324	78
1325	66
1326	17
1327	88
1328	69
1329	78
1330	85
1331	99
1332	95
1333	29
1334	67
1335	22
1336	7
1337	92
1338	80
1339	75
1340	55
1341	46
1342	2
1343	84
1344	3
1345	73
1346	27
1347	69
1348	79
1349	46
1350	13
1351	20
1352	56
1353	72
1354	43
1355	30
1356	81
1357	99
1358	89
1359	93
1360	89
1361	25
1362	75
1363	66
1364	18
1365	0
1366	29
1367	34
1368	46
1369	42
1370	66
1371	48
1372	15
1373	58
1374	57
1375	75
1376	24
1377	85
1378	12
1379	60
1380	80
1381	86
1382	87
1383	82
1384	35
1385	21
1386	19
1387	1
1388	12
1389	50
1390	71
1391	7
1392	26
1393	13
1394	73
1395	26
1396	16
1397	10
1398	3
1399	38
1400	73
1401	74
1402	44
1403	90
1404	75
1405	60
1406	14
1407	99
1408	57
1409	23
1410	57
1411	41
1412	46
1413	10
1414	82
1415	79
1416	4
1417	78
1418	62
1419	59
1420	56
1421	64
1422	62
1423	50
1424	68
1425	96
1426	21
1427	11
1428	83
1429	86
1430	7
1431	4
1432	73
1433	46
1434	35
1435	89
1436	74
1437	94
1438	93
1439	79
1440	97
1441	96
1442	46
1443	94
1444	45
1445	38
1446	29
1447	63
1448	32
1449	21
1450	100
1451	94
1452	62
1453	84
1454	97
1455	100
1456	50
1457	46
1458	63
1459	14
1460	14
1461	45
1462	90
1463	33
1464	60
1465	72
1466	65
1467	64
1468	5
1469	15
1470	38
1471	74
1472	6
1473	41
1474	11
1475	5
1476	52
1477	2
1478	1
1479	82
1480	2
1481	39
1482	15
1483	28
1484	63
1485	94
1486	85
1487	39
1488	59
1489	26
1490	67
1491	81
1492	9
1493	42
1494	49
1495	53
1496	98
1497	34
1498	10
1499	99
1500	68
